Topic,Title,Tier,Difficulty,URL,Slug
NoSQL Injection,Detecting NoSQL injection,🟢 FREE,Apprentice,https://portswigger.net/web-security/nosql-injection/lab-nosql-injection-detection,lab-nosql-injection-detection
NoSQL Injection,Exploiting NoSQL operator injection to bypass authentication,🟢 FREE,Apprentice,https://portswigger.net/web-security/nosql-injection/lab-nosql-injection-bypass-authentication,lab-nosql-injection-bypass-authentication
NoSQL Injection,Exploiting NoSQL injection to extract data,🟢 FREE,Practitioner,https://portswigger.net/web-security/nosql-injection/lab-nosql-injection-extract-data,lab-nosql-injection-extract-data
NoSQL Injection,Exploiting NoSQL operator injection to extract unknown fields,🟢 FREE,Practitioner,https://portswigger.net/web-security/nosql-injection/lab-nosql-injection-extract-unknown-fields,lab-nosql-injection-extract-unknown-fields
API Testing,Exploiting an API endpoint using documentation,🟢 FREE,Apprentice,https://portswigger.net/web-security/api-testing/lab-exploiting-api-endpoint-using-documentation,lab-exploiting-api-endpoint-using-documentation
API Testing,Exploiting server-side parameter pollution in a query string,🟢 FREE,Practitioner,https://portswigger.net/web-security/api-testing/server-side-parameter-pollution/lab-exploiting-server-side-parameter-pollution-in-query-string,lab-exploiting-server-side-parameter-pollution-in-query-string
API Testing,Finding and exploiting an unused API endpoint,🟢 FREE,Practitioner,https://portswigger.net/web-security/api-testing/lab-exploiting-unused-api-endpoint,lab-exploiting-unused-api-endpoint
API Testing,Exploiting a mass assignment vulnerability,🟢 FREE,Practitioner,https://portswigger.net/web-security/api-testing/lab-exploiting-mass-assignment-vulnerability,lab-exploiting-mass-assignment-vulnerability
API Testing,Exploiting server-side parameter pollution in a REST URL,🟢 FREE,Expert,https://portswigger.net/web-security/api-testing/server-side-parameter-pollution/lab-exploiting-server-side-parameter-pollution-in-rest-url,lab-exploiting-server-side-parameter-pollution-in-rest-url
GraphQL API Vulnerabilities,Accessing private GraphQL posts,🟢 FREE,Apprentice,https://portswigger.net/web-security/graphql/lab-graphql-reading-private-posts,lab-graphql-reading-private-posts
GraphQL API Vulnerabilities,Accidental exposure of private GraphQL fields,🟢 FREE,Practitioner,https://portswigger.net/web-security/graphql/lab-graphql-accidental-field-exposure,lab-graphql-accidental-field-exposure
GraphQL API Vulnerabilities,Finding a hidden GraphQL endpoint,🟢 FREE,Practitioner,https://portswigger.net/web-security/graphql/lab-graphql-find-the-endpoint,lab-graphql-find-the-endpoint
GraphQL API Vulnerabilities,Bypassing GraphQL brute force protections,🟢 FREE,Practitioner,https://portswigger.net/web-security/graphql/lab-graphql-brute-force-protection-bypass,lab-graphql-brute-force-protection-bypass
GraphQL API Vulnerabilities,Performing CSRF exploits over GraphQL,🟢 FREE,Practitioner,https://portswigger.net/web-security/graphql/lab-graphql-csrf-via-graphql-api,lab-graphql-csrf-via-graphql-api
Web LLM Attacks,Exploiting LLM APIs with excessive agency,🟢 FREE,Apprentice,https://portswigger.net/web-security/llm-attacks/lab-exploiting-llm-apis-with-excessive-agency,lab-exploiting-llm-apis-with-excessive-agency
Web LLM Attacks,Exploiting vulnerabilities in LLM APIs,🟢 FREE,Practitioner,https://portswigger.net/web-security/llm-attacks/lab-exploiting-vulnerabilities-in-llm-apis,lab-exploiting-vulnerabilities-in-llm-apis
Web LLM Attacks,Indirect prompt injection,🟢 FREE,Practitioner,https://portswigger.net/web-security/llm-attacks/lab-indirect-prompt-injection,lab-indirect-prompt-injection
Web LLM Attacks,Exploiting insecure output handling in LLMs,🟢 FREE,Expert,https://portswigger.net/web-security/llm-attacks/lab-exploiting-insecure-output-handling-in-llms,lab-exploiting-insecure-output-handling-in-llms
Web LLM Attacks,Exploiting AI agents to perform destructive actions,🟢 FREE,Apprentice,https://portswigger.net/web-security/llm-attacks/ai-powered-scanner-vulnerabilities/lab-indirect-prompt-injection-via-ai-powered-scan,lab-indirect-prompt-injection-via-ai-powered-scan
Web LLM Attacks,Exploiting AI agents to exfiltrate sensitive information,🟢 FREE,Apprentice,https://portswigger.net/web-security/llm-attacks/ai-powered-scanner-vulnerabilities/lab-sensitive-information-exfiltration,lab-sensitive-information-exfiltration
Web LLM Attacks,Exploiting AI agents to trigger secondary vulnerabilities,🟢 FREE,Practitioner,https://portswigger.net/web-security/llm-attacks/ai-powered-scanner-vulnerabilities/lab-exploiting-target-website-vulnerabilities-to-bypass-restrictions,lab-exploiting-target-website-vulnerabilities-to-bypass-restrictions
Web LLM Attacks,Bypassing AI scanner defenses to exfiltrate sensitive information,🟢 FREE,Practitioner,https://portswigger.net/web-security/llm-attacks/ai-powered-scanner-vulnerabilities/lab-bypassing-ai-scanner-defenses-to-exfiltrate-sensitive-information,lab-bypassing-ai-scanner-defenses-to-exfiltrate-sensitive-information
Essential Skills,Discovering vulnerabilities quickly with targeted scanning,🟢 FREE,Practitioner,https://portswigger.net/web-security/essential-skills/using-burp-scanner-during-manual-testing/lab-discovering-vulnerabilities-quickly-with-targeted-scanning,lab-discovering-vulnerabilities-quickly-with-targeted-scanning
Essential Skills,Scanning non-standard data structures,🟢 FREE,Practitioner,https://portswigger.net/web-security/essential-skills/using-burp-scanner-during-manual-testing/lab-scanning-non-standard-data-structures,lab-scanning-non-standard-data-structures
Web Cache Poisoning,Web cache poisoning with an unkeyed header,🟢 FREE,Practitioner,https://portswigger.net/web-security/web-cache-poisoning/exploiting-design-flaws/lab-web-cache-poisoning-with-an-unkeyed-header,lab-web-cache-poisoning-with-an-unkeyed-header
Web Cache Poisoning,Web cache poisoning with an unkeyed cookie,🟢 FREE,Practitioner,https://portswigger.net/web-security/web-cache-poisoning/exploiting-design-flaws/lab-web-cache-poisoning-with-an-unkeyed-cookie,lab-web-cache-poisoning-with-an-unkeyed-cookie
Web Cache Poisoning,Web cache poisoning with multiple headers,🟢 FREE,Practitioner,https://portswigger.net/web-security/web-cache-poisoning/exploiting-design-flaws/lab-web-cache-poisoning-with-multiple-headers,lab-web-cache-poisoning-with-multiple-headers
Web Cache Poisoning,Targeted web cache poisoning using an unknown header,🟢 FREE,Practitioner,https://portswigger.net/web-security/web-cache-poisoning/exploiting-design-flaws/lab-web-cache-poisoning-targeted-using-an-unknown-header,lab-web-cache-poisoning-targeted-using-an-unknown-header
Web Cache Poisoning,Web cache poisoning via an unkeyed query string,🟢 FREE,Practitioner,https://portswigger.net/web-security/web-cache-poisoning/exploiting-implementation-flaws/lab-web-cache-poisoning-unkeyed-query,lab-web-cache-poisoning-unkeyed-query
Web Cache Poisoning,Web cache poisoning via an unkeyed query parameter,🟢 FREE,Practitioner,https://portswigger.net/web-security/web-cache-poisoning/exploiting-implementation-flaws/lab-web-cache-poisoning-unkeyed-param,lab-web-cache-poisoning-unkeyed-param
Web Cache Poisoning,Parameter cloaking,🟢 FREE,Practitioner,https://portswigger.net/web-security/web-cache-poisoning/exploiting-implementation-flaws/lab-web-cache-poisoning-param-cloaking,lab-web-cache-poisoning-param-cloaking
Web Cache Poisoning,Web cache poisoning via a fat GET request,🟢 FREE,Practitioner,https://portswigger.net/web-security/web-cache-poisoning/exploiting-implementation-flaws/lab-web-cache-poisoning-fat-get,lab-web-cache-poisoning-fat-get
Web Cache Poisoning,URL normalization,🟢 FREE,Practitioner,https://portswigger.net/web-security/web-cache-poisoning/exploiting-implementation-flaws/lab-web-cache-poisoning-normalization,lab-web-cache-poisoning-normalization
Web Cache Poisoning,Web cache poisoning to exploit a DOM vulnerability via a cache with strict cacheability criteria,🟢 FREE,Expert,https://portswigger.net/web-security/web-cache-poisoning/exploiting-design-flaws/lab-web-cache-poisoning-to-exploit-a-dom-vulnerability-via-a-cache-with-strict-cacheability-criteria,lab-web-cache-poisoning-to-exploit-a-dom-vulnerability-via-a-cache-with-strict-cacheability-criteria
Web Cache Poisoning,Combining web cache poisoning vulnerabilities,🟢 FREE,Expert,https://portswigger.net/web-security/web-cache-poisoning/exploiting-design-flaws/lab-web-cache-poisoning-combining-vulnerabilities,lab-web-cache-poisoning-combining-vulnerabilities
Web Cache Poisoning,Cache key injection,🟢 FREE,Expert,https://portswigger.net/web-security/web-cache-poisoning/exploiting-implementation-flaws/lab-web-cache-poisoning-cache-key-injection,lab-web-cache-poisoning-cache-key-injection
Web Cache Poisoning,Internal cache poisoning,🟢 FREE,Expert,https://portswigger.net/web-security/web-cache-poisoning/exploiting-implementation-flaws/lab-web-cache-poisoning-internal,lab-web-cache-poisoning-internal
Web Cache Deception,Exploiting path mapping for web cache deception,🟢 FREE,Apprentice,https://portswigger.net/web-security/web-cache-deception/lab-wcd-exploiting-path-mapping,lab-wcd-exploiting-path-mapping
Web Cache Deception,Exploiting path delimiters for web cache deception,🟢 FREE,Practitioner,https://portswigger.net/web-security/web-cache-deception/lab-wcd-exploiting-path-delimiters,lab-wcd-exploiting-path-delimiters
Web Cache Deception,Exploiting origin server normalization for web cache deception,🟢 FREE,Practitioner,https://portswigger.net/web-security/web-cache-deception/lab-wcd-exploiting-origin-server-normalization,lab-wcd-exploiting-origin-server-normalization
